NAME,DISTRICT,OFFICE,CYCLECAND,CURCAND,PARTY,INCUMBENCY,Netreceipts,NetDisbments,Inidv,ECOH,CandContrib,CandLoan,CandLoanRepay,DebtOwed,EndDate,,#REF!
"Beatty, Joyce",OH 003,US HOUSE,Y,1,D,Incumbent,"701,068.55","694,255.55","199,828.00","2,719,386.00",0,0,0,2500,12/31/2025,,
"Messmer, Mark",IN 008,US HOUSE,Y,1,R,Incumbent,"700,909.00","364,005.00","124,004.00","544,009.00",3500,0,0,6249,12/31/2025,,
"Street, Sharif",PA 003,US HOUSE,Y,1,D,Not an Incumbent,"699,845.00","225,822.00","631,545.00","526,581.00",0,0,0,2644,12/31/2025,,
"Bilirakis, Gus",FL 012,US HOUSE,Y,1,R,Incumbent,"696,669.30","470,284.30","272,430.00","347,802.00",0,0,0,0,12/31/2025,,
"Dingell, Debbie",MI 006,US HOUSE,Y,1,D,Incumbent,"693,372.86","691,074.86","233,967.00","345,221.00",0,0,0,0,12/31/2025,,
"Owens, Burgess",UT 004,US HOUSE,Y,1,R,Incumbent,"693,267.37","664,258.37","498,407.00","162,437.00",0,0,0,0,12/31/2025,,
"Bera, Ami",CA 003,US HOUSE,Y,1,D,Incumbent,"690,938.00","593,828.00","321,600.00","1,970,481.00",0,0,50000,7800,12/31/2025,,
"Cleaver Ii, Emanuel",MO 005,US HOUSE,Y,1,D,Incumbent,"684,689.00","618,999.00","224,783.00","955,316.00",0,0,0,0,12/31/2025,,
"Tully, Dan",IL 008,US HOUSE,Y,1,D,Not an Incumbent,"682,884.80","270,621.80","186,565.00","412,263.00",1164,490500,0,490500,12/31/2025,,
"Lamondin, Richard",FL 027,US HOUSE,Y,1,D,Not an Incumbent,"681,016.00","247,665.00","537,629.00","433,351.00",450,145000,0,145000,12/31/2025,,
"Wettach, Taylor",IA 001,US HOUSE,Y,1,D,Not an Incumbent,"680,609.00","304,947.00","683,234.00","375,662.00",0,0,0,0,12/31/2025,,
"Babin, Brian",TX 036,US HOUSE,Y,1,R,Incumbent,"678,475.73","467,606.73","161,228.00","857,071.00",0,0,0,0,12/31/2025,,
"Moore, Gwen",WI 004,US HOUSE,Y,1,D,Incumbent,"677,481.20","652,312.20","274,882.00","47,417.00",668,0,0,2000,12/31/2025,,
"Wied, Tony",WI 008,US HOUSE,Y,1,R,Incumbent,"673,568.27","365,612.27","300,020.00","353,186.00",0,0,0,627289,12/31/2025,,
"Elfreth, Sarah",MD 003,US HOUSE,Y,1,D,Incumbent,"672,390.84","343,490.84","402,556.00","359,639.00",648,0,0,0,12/31/2025,,
"Pressley, Ayanna",MA 007,US HOUSE,Y,1,D,Incumbent,"669,196.90","688,621.90","564,132.00","98,796.00",0,0,0,0,12/31/2025,,
"Conaway, Herb",NJ 003,US HOUSE,Y,1,D,Incumbent,"669,139.19","340,575.19","318,229.00","365,978.00",0,0,0,0,12/31/2025,,
"Clyburn, James E",SC 006,US HOUSE,Y,1,D,Incumbent,"667,828.38","1,000,455.38","251,672.00","1,506,500.00",0,0,0,0,12/31/2025,,
"Allen, Richard W",GA 012,US HOUSE,Y,1,R,Incumbent,"667,430.00","427,217.00","373,970.00","1,415,169.00",0,0,0,1639945,12/31/2025,,
"Dezevallos, Shelly",TX 038,US HOUSE,Y,1,R,Not an Incumbent,"666,506.00","87,825.00","294,959.00","578,680.00",8046,350000,0,350000,12/31/2025,,
"Green, Al",TX 018,US HOUSE,Y,1,D,Incumbent,"666,316.80","357,839.80","690,485.00","527,562.00",0,0,0,0,12/31/2025,,
"Manley, Elijah",FL 020,US HOUSE,Y,1,D,Not an Incumbent,"666,121.76","660,100.76","668,107.00","6,020.00",0,0,0,37523,12/31/2025,,
"Brown, Shontel",OH 011,US HOUSE,Y,1,D,Incumbent,"665,644.72","432,790.72","268,083.00","1,088,668.00",0,0,0,0,12/31/2025,,
"Cavanaugh, John",NE 002,US HOUSE,Y,1,D,Not an Incumbent,"664,905.32","253,907.32","614,503.00","410,998.00",0,0,0,0,12/31/2025,,
"Ezell, Mike",MS 004,US HOUSE,Y,1,R,Incumbent,"664,841.91","393,859.91","318,417.00","422,447.00",0,0,0,0,12/31/2025,,
"Kelly Jr, Mike",PA 016,US HOUSE,Y,1,R,Incumbent,"664,733.07","575,047.07","178,899.00","1,132,373.00",0,0,0,90000,12/31/2025,,
"Males, Joe",CA 025,US HOUSE,Y,1,R,Not an Incumbent,"664,369.18","598,336.18","664,370.00","66,033.00",0,0,0,57677,12/31/2025,,
"Clarke, Yvette",NY 009,US HOUSE,Y,1,D,Incumbent,"663,055.55","656,511.55","265,938.00","116,598.00",0,0,0,72744,12/31/2025,,
"Hines, Christina",MI 010,US HOUSE,Y,1,D,Not an Incumbent,"661,241.27","402,823.27","620,358.00","258,418.00",0,0,0,0,12/31/2025,,
"Delauro, Rosa",CT 003,US HOUSE,Y,1,D,Incumbent,"660,452.13","646,303.13","315,045.00","239,597.00",0,0,0,0,12/31/2025,,
"Weber, Randy",TX 014,US HOUSE,Y,1,R,Incumbent,"660,363.42","317,328.42","155,845.00","963,607.00",0,0,6504,63527,12/31/2025,,
"Sessions, Pete",TX 017,US HOUSE,Y,1,R,Incumbent,"656,371.00","322,369.00","309,156.00","774,937.00",0,0,0,0,12/31/2025,,
"Cloud, Michael",TX 027,US HOUSE,Y,1,R,Incumbent,"654,303.00","544,246.00","548,184.00","246,934.00",0,0,0,0,12/31/2025,,
"Williams, Lily",NH 002,US HOUSE,Y,1,R,Not an Incumbent,"653,697.00","275,801.00","532,236.00","507,375.00",0,120000,0,120000,12/31/2025,,
"Cline, Ben",VA 006,US HOUSE,Y,1,R,Incumbent,"647,303.00","454,431.00","306,708.00","521,194.00",0,0,0,0,12/31/2025,,
"Bishop Jr, Sanford",GA 002,US HOUSE,Y,1,D,Incumbent,"645,830.19","559,651.19","227,856.00","269,040.00",0,0,0,0,12/31/2025,,
"Taylor, David",OH 002,US HOUSE,Y,1,R,Incumbent,"639,085.80","356,689.80","358,941.00","410,203.00",0,0,0,1707300,12/31/2025,,
"Dexter, Maxine",OR 003,US HOUSE,Y,1,D,Incumbent,"635,471.18","458,137.18","418,044.00","199,821.00",0,0,0,0,12/31/2025,,
"Figures, Shomari",AL 002,US HOUSE,Y,1,D,Incumbent,"634,579.08","395,578.08","189,629.00","262,109.00",0,0,0,12000,12/31/2025,,
"Olszewski Jr., John",MD 002,US HOUSE,Y,1,D,Incumbent,"630,662.25","290,827.25","431,648.00","506,426.00",0,0,0,0,12/31/2025,,
"Bains, Jasmeet",CA 022,US HOUSE,Y,1,D,Not an Incumbent,"630,357.00","192,826.00","540,673.00","437,530.00",0,0,0,25729,12/31/2025,,
"Lander, Brad",NY 010,US HOUSE,Y,1,D,Not an Incumbent,"628,707.00","102,421.00","623,707.00","526,285.00",0,0,0,6837,12/31/2025,,
"Harrigan, Pat",NC 010,US HOUSE,Y,1,R,Incumbent,"625,964.89","334,773.89","413,259.00","344,032.00",0,0,99590,0,12/31/2025,,
"Fisher Dr., Thomas",IL 007,US HOUSE,Y,1,D,Not an Incumbent,"624,931.00","169,691.00","590,783.00","455,239.00",3707,0,0,0,12/31/2025,,
"Mccartney, Rick",AZ 001,US HOUSE,Y,1,D,Not an Incumbent,"624,705.00","239,085.00","285,344.00","385,620.00",84124,250000,0,250000,12/31/2025,,
"Cuellar, Ada",TX 015,US HOUSE,Y,1,D,Not an Incumbent,"619,388.25","301,582.25","134,554.00","317,806.00",100,475000,0,506203,12/31/2025,,
"Macy, Beth",VA 006,US HOUSE,Y,1,D,Not an Incumbent,"618,816.00","91,107.00","603,816.00","527,708.00",0,0,0,0,12/31/2025,,
"Barringer, Paul",NC 013,US HOUSE,Y,1,D,Not an Incumbent,"614,518.00","166,212.00","254,560.00","448,306.00",128988,228000,0,228000,12/31/2025,,
"Aderholt, Robert B",AL 004,US HOUSE,Y,1,R,Incumbent,"611,777.00","516,953.00","286,222.00","1,061,719.00",0,0,0,0,12/31/2025,,
"Roth, Michael",NJ 007,US HOUSE,Y,1,D,Not an Incumbent,"608,907.36","279,039.36","593,522.00","329,868.00",15735,0,0,2666,12/31/2025,,
"Brooks, Bob",PA 007,US HOUSE,Y,1,D,Not an Incumbent,"608,695.00","267,927.00","502,707.00","340,767.00",3500,0,0,0,12/31/2025,,
"Kennedy, Mike",UT 003,US HOUSE,Y,1,R,Incumbent,"607,014.00","440,075.00","283,563.00","292,141.00",0,0,0,225000,12/31/2025,,
"Escobar, Veronica",TX 016,US HOUSE,Y,1,D,Incumbent,"606,787.00","441,803.00","372,872.00","280,828.00",0,0,0,0,12/31/2025,,
"Elkind, Liam",NY 012,US HOUSE,Y,1,D,Not an Incumbent,"603,209.00","207,231.00","610,471.00","395,978.00",0,0,0,0,12/31/2025,,
"Couvillon, Sam",GA 009,US HOUSE,Y,1,R,Not an Incumbent,"603,048.00","368,964.00","594,048.00","234,084.00",0,0,0,0,12/31/2025,,
"Conroy, Eric",OH 001,US HOUSE,Y,1,R,Not an Incumbent,"599,704.00","160,060.00","229,034.00","439,643.00",37630,287500,0,359734,12/31/2025,,
"Smith, Mark",SC 001,US HOUSE,Y,1,R,Not an Incumbent,"599,594.76","85,995.76","275,095.00","513,598.00",0,300000,0,300000,12/31/2025,,
"Farrell, Patrick",GA 001,US HOUSE,Y,1,R,Not an Incumbent,"599,051.00","133,765.00","100,801.00","465,285.00",0,500000,0,500000,12/31/2025,,
"Scott, Austin",GA 008,US HOUSE,Y,1,R,Incumbent,"597,570.00","401,770.00","191,020.00","1,175,965.00",0,0,0,0,12/31/2025,,
"Guest, Michael",MS 003,US HOUSE,Y,1,R,Incumbent,"597,303.33","291,680.33","373,803.00","816,968.00",0,0,0,0,12/31/2025,,
"Roath, Patrick",MA 008,US HOUSE,Y,1,D,Not an Incumbent,"595,376.47","295,338.47","576,313.00","300,037.00",3177,20000,0,20000,12/31/2025,,
"Urrutia, Christian",NH 001,US HOUSE,Y,1,D,Not an Incumbent,"593,625.87","322,134.87","505,206.00","271,490.00",12218,78000,0,78000,12/31/2025,,
"Konfrst, Jennifer",IA 003,US HOUSE,Y,1,D,Not an Incumbent,"592,430.00","379,721.00","579,047.00","212,708.00",57,0,0,0,12/31/2025,,
"Davis, Jennifer",IL 008,US HOUSE,Y,1,R,Not an Incumbent,"592,074.00","104,323.00","92,074.00","487,751.00",0,500000,0,500000,12/31/2025,,
"Forte, Tina",NY 014,US HOUSE,Y,1,R,Not an Incumbent,"591,925.95","651,912.95","595,448.00","22,227.00",0,0,0,15000,12/31/2025,,
"Zalesne, Kinney",DC 001,US HOUSE,Y,1,D,Not an Incumbent,"591,285.00","146,093.00","541,285.00","445,192.00",100,50000,0,50000,12/31/2025,,
"Alvarado, Ralph",KY 006,US HOUSE,Y,1,R,Not an Incumbent,"590,771.36","104,369.36","441,613.00","486,402.00",0,57245,0,57245,12/31/2025,,
"Roberson, Sandy",NC 001,US HOUSE,Y,1,R,Not an Incumbent,"588,877.00","240,676.00","526,072.00","357,628.00",0,3000000,2800000,1232020,12/31/2025,,
"Kruttiventi, Vin",CA 013,US HOUSE,Y,1,R,Not an Incumbent,"585,161.00","456,198.00","244,180.00","134,762.00",333664,0,0,809547,12/31/2025,,
"Little, Matt",MN 002,US HOUSE,Y,1,D,Not an Incumbent,"583,583.00","192,628.00","428,843.00","390,954.00",0,155000,0,155000,12/31/2025,,
"Scanlon, Mary Gay",PA 005,US HOUSE,Y,1,D,Incumbent,"579,232.82","528,501.82","310,329.00","368,477.00",0,0,0,0,12/31/2025,,
"Case, Ed",HI 001,US HOUSE,Y,1,D,Incumbent,"575,580.00","149,247.00","256,983.00","742,991.00",0,0,0,0,12/31/2025,,
"Kelly, Trent",MS 001,US HOUSE,Y,1,R,Incumbent,"574,916.00","501,250.00","279,822.00","682,524.00",0,0,0,0,12/31/2025,,
"Moraitis, George",FL 023,US HOUSE,Y,1,R,Not an Incumbent,"572,812.00","125,301.00","447,396.00","447,511.00",6915,110000,0,111100,12/31/2025,,
"Bentz, Cliff",OR 002,US HOUSE,Y,1,R,Incumbent,"570,785.80","319,411.80","288,844.00","1,307,719.00",0,0,48100,0,12/31/2025,,
"Gagnier, Christina",CA 040,US HOUSE,Y,1,D,Not an Incumbent,"569,795.50","403,678.50","534,262.00","166,117.00",14919,54003,0,54003,12/31/2025,,
"Climer, Wes",SC 005,US HOUSE,Y,1,R,Not an Incumbent,"569,504.00","81,127.00","454,504.00","488,376.00",0,0,0,0,12/31/2025,,
"Edwards, Chuck",NC 011,US HOUSE,Y,1,R,Incumbent,"568,000.00","216,353.00","330,644.00","460,411.00",0,0,0,0,12/31/2025,,
"Maloy, Celeste",UT 003,US HOUSE,Y,1,R,Incumbent,"565,387.77","313,311.77","271,967.00","359,097.00",0,0,0,36173,12/31/2025,,
"Tonko, Paul",NY 020,US HOUSE,Y,1,D,Incumbent,"565,016.00","766,323.00","194,055.00","398,194.00",0,0,0,0,12/31/2025,,
"Klein, Matthew",MN 002,US HOUSE,Y,1,D,Not an Incumbent,"562,539.07","234,212.07","488,621.00","328,326.00",605,0,0,0,12/31/2025,,
"Balint, Becca",VT 001,US HOUSE,Y,1,D,Incumbent,"559,913.09","294,540.09","408,232.00","411,134.00",0,0,0,0,12/31/2025,,
"Erbeck, Steven",OH 001,US HOUSE,Y,1,R,Not an Incumbent,"557,918.00","93,804.00","147,918.00","464,113.00",0,400000,0,400000,12/31/2025,,
"Williams, Josh",OH 009,US HOUSE,Y,1,R,Not an Incumbent,"556,139.00","301,021.00","560,546.00","255,118.00",0,0,0,0,12/31/2025,,
"Turner, Michael R",OH 010,US HOUSE,Y,1,R,Incumbent,"555,709.21","496,220.21","190,228.00","489,913.00",0,0,0,0,12/31/2025,,
"Huffman, Jared",CA 002,US HOUSE,Y,1,D,Incumbent,"554,072.78","518,962.78","345,205.00","1,019,752.00",0,0,0,12760,12/31/2025,,
"Mccann, Sean",MI 004,US HOUSE,Y,1,D,Not an Incumbent,"553,687.00","293,888.00","486,530.00","259,798.00",0,0,0,0,12/31/2025,,
"Bouchard, Michael",MI 010,US HOUSE,Y,1,R,Not an Incumbent,"550,581.00","30,561.00","550,591.00","520,019.00",0,0,0,1150,12/31/2025,,
"Pocan, Mark",WI 002,US HOUSE,Y,1,D,Incumbent,"549,533.14","518,945.14","270,159.00","1,032,805.00",0,0,0,0,12/31/2025,,
"Dembo, Zach",KY 006,US HOUSE,Y,1,D,Not an Incumbent,"549,003.49","205,721.49","529,665.00","343,282.00",2575,0,0,0,12/31/2025,,
"Garcia, Sylvia",TX 029,US HOUSE,Y,1,D,Incumbent,"545,282.33","527,806.33","204,889.00","389,230.00",0,0,0,0,12/31/2025,,
"Mullin, Kevin",CA 015,US HOUSE,Y,1,D,Incumbent,"542,353.77","364,998.77","248,342.00","229,126.00",0,0,0,203,12/31/2025,,
"Virts, Terry",TX 009,US HOUSE,Y,1,D,Not an Incumbent,"536,661.00","499,975.00","473,913.00","36,686.00",0,53125,0,333479,12/31/2025,,
"Spartz, Victoria",IN 005,US HOUSE,Y,1,R,Incumbent,"533,431.78","581,969.78","899,533.00","209,511.00",0,25000,475000,250000,12/31/2025,,
"Morrison, Kevin",IL 008,US HOUSE,Y,1,D,Not an Incumbent,"531,512.86","298,710.86","483,769.00","232,801.00",6594,0,0,0,12/31/2025,,
"Ufford, Don",MI 011,US HOUSE,Y,1,D,Not an Incumbent,"529,691.00","174,072.00","533,697.00","355,618.00",0,0,0,0,12/31/2025,,
"Bush, Cori",MO 001,US HOUSE,Y,1,D,Not an Incumbent,"527,090.37","345,559.37","527,115.00","203,864.00",0,0,0,13374,12/31/2025,,
"Higgins, Clay",LA 003,US HOUSE,Y,1,R,Incumbent,"524,428.00","361,862.00","94,553.00","487,133.00",0,0,0,0,12/31/2025,,
"Amodei, Mark",NV 002,US HOUSE,Y,1,R,Incumbent,"521,642.00","327,815.00","338,392.00","554,868.00",0,0,0,9000,12/31/2025,,
"Cawthorn, Madison",FL 019,US HOUSE,Y,1,R,Not an Incumbent,"518,248.00","87,529.00","18,248.00","430,718.00",0,500000,0,511888,12/31/2025,,
"Von Wilpert, Marni",CA 048,US HOUSE,Y,1,D,Not an Incumbent,"517,582.00","213,306.00","477,762.00","304,275.00",1975,0,0,36935,12/31/2025,,
"Palmer, Gary",AL 006,US HOUSE,Y,1,R,Incumbent,"514,878.60","364,055.60","309,841.00","304,062.00",0,0,0,0,12/31/2025,,
"Smullen, Robert",NY 021,US HOUSE,Y,1,R,Not an Incumbent,"513,122.00","18,467.00","13,122.00","494,655.00",0,500000,0,500000,12/31/2025,,
"Takano, Mark",CA 039,US HOUSE,Y,1,D,Incumbent,"513,078.99","605,750.99","300,554.00","176,497.00",0,0,0,0,12/31/2025,,
"Miller, Adam",OH 015,US HOUSE,Y,1,D,Not an Incumbent,"512,860.00","207,374.00","363,207.00","309,099.00",0,123100,6000,243168,12/31/2025,,
"Lincoln Ii, Kevin",CA 009,US HOUSE,Y,1,R,Not an Incumbent,"512,597.54","341,431.54","484,345.00","195,289.00",0,0,0,126560,12/31/2025,,
"Lincoln Ii, Kevin",CA 013,US HOUSE,Y,1,R,Not an Incumbent,"512,597.54","341,431.54","484,345.00","195,289.00",0,0,0,126560,12/31/2025,,
"McBath, Lucy",GA 006,US HOUSE,Y,1,D,Incumbent,"510,988.29","903,436.29","299,224.00","560,826.00",0,0,0,0,12/31/2025,,
"Mcclintock Jr, Tom",CA 005,US HOUSE,Y,1,R,Incumbent,"510,823.83","562,239.83","447,948.00","96,788.00",0,0,0,13694,12/31/2025,,
"Mcgowan, Chris",IA 004,US HOUSE,Y,1,R,Not an Incumbent,"508,559.00","154,395.00","468,559.00","354,163.00",0,0,0,0,12/31/2025,,
"Friedman, Laura",CA 030,US HOUSE,Y,1,D,Incumbent,"508,056.36","439,636.36","341,825.00","365,167.00",0,0,0,0,12/31/2025,,
"Onder Jr., Robert",MO 003,US HOUSE,Y,1,R,Incumbent,"507,679.33","283,873.33","277,694.00","374,249.00",0,0,0,900000,12/31/2025,,
"Onder Jr, Robert Frank",MO 003,US HOUSE,Y,1,R,Incumbent,"507,679.33","283,873.33","277,694.00","374,249.00",0,0,0,900000,12/31/2025,,
"Reinmann, Jessica",NY 017,US HOUSE,Y,1,D,Not an Incumbent,"504,937.00","328,711.00","420,222.00","176,226.00",115000,120000,120000,0,12/31/2025,,
"Beecher, Zach",NJ 011,US HOUSE,Y,1,D,Not an Incumbent,"504,538.00","293,317.00","483,028.00","211,221.00",13609,0,0,0,1/16/2026,,
"Grothman, Glenn",WI 006,US HOUSE,Y,1,R,Incumbent,"503,187.82","380,795.82","367,688.00","644,881.00",0,0,0,139110,12/31/2025,,
"Crawford, Rick",AR 001,US HOUSE,Y,1,R,Incumbent,"503,035.00","314,973.00","179,953.00","1,018,888.00",0,0,0,0,12/31/2025,,
"Barragan, Nanette",CA 044,US HOUSE,Y,1,D,Incumbent,"499,924.22","732,519.22","110,502.00","1,248,958.00",0,0,0,0,12/31/2025,,
"Nadeem, Alea",OH 009,US HOUSE,Y,1,R,Not an Incumbent,"498,487.10","373,238.10","459,521.00","125,249.00",0,0,0,0,12/31/2025,,
"Ky-Phong Vo, Thomas",CA 045,US HOUSE,Y,1,R,Not an Incumbent,"496,800.00",945,"22,800.00","495,855.00",0,0,0,480000,12/31/2025,,
"Buck, Carrie",NV 001,US HOUSE,Y,1,R,Not an Incumbent,"496,310.00","199,459.00","493,293.00","296,851.00",2636,0,0,145557,12/31/2025,,
"Oxman, David",PA 003,US HOUSE,Y,1,D,Not an Incumbent,"494,696.08","137,698.08","320,393.00","356,998.00",2379,175000,0,175000,12/31/2025,,
"Merrin, Derek",OH 009,US HOUSE,Y,1,R,Not an Incumbent,"493,307.00","213,216.00","281,322.00","356,741.00",0,235000,115000,120000,12/31/2025,,
"Burchett, Tim",TN 002,US HOUSE,Y,1,R,Incumbent,"488,750.83","653,813.83","396,485.00","563,127.00",0,0,0,9160,12/31/2025,,
"Munsing, Evan",CO 008,US HOUSE,Y,1,D,Not an Incumbent,"484,560.00","271,261.00","472,628.00","213,299.00",0,0,0,0,12/31/2025,,
"Courtney, Joe",CT 002,US HOUSE,Y,1,D,Incumbent,"483,676.56","313,373.56","186,432.00","521,414.00",0,0,0,0,12/31/2025,,
"Castor, Kathy",FL 014,US HOUSE,Y,1,D,Incumbent,"482,538.47","241,067.47","243,157.00","468,200.00",0,0,0,0,9/30/2025,,
"Carson, Andre",IN 007,US HOUSE,Y,1,D,Incumbent,"481,103.09","303,379.09","144,400.00","627,147.00",730,0,0,0,9/30/2025,,
"Quigley, Mike",IL 005,US HOUSE,Y,1,D,Incumbent,"480,459.31","461,446.31","169,852.00","1,200,196.00",0,0,0,0,12/31/2025,,
"Bonamici, Suzanne",OR 001,US HOUSE,Y,1,D,Incumbent,"479,999.85","490,118.85","256,250.00","535,844.00",0,0,0,0,12/31/2025,,
"Mcclure, Lamont",PA 007,US HOUSE,Y,1,D,Not an Incumbent,"479,139.80","191,549.80","214,015.00","287,590.00",24000,200000,0,200000,12/31/2025,,
"Peguero, Robin",FL 027,US HOUSE,Y,1,D,Not an Incumbent,"477,024.78","228,390.78","462,150.00","248,633.00",0,0,0,0,12/31/2025,,
"Askins, Kishla",NE 002,US HOUSE,Y,1,D,Not an Incumbent,"475,352.00","207,385.00","276,232.00","267,966.00",21000,100094,0,100094,12/31/2025,,
"Valentino, Gene",FL 001,US HOUSE,Y,1,R,Not an Incumbent,"474,649.70","474,649.70","84,933.00",0,0,393000,3283,0,3/4/2025,,
"Hamadeh, Abraham",AZ 008,US HOUSE,Y,1,R,Incumbent,"467,509.77","277,507.77","238,984.00","226,410.00",0,0,245218,110643,12/31/2025,,
"Stanford Dr., Ala",PA 003,US HOUSE,Y,1,D,Not an Incumbent,"467,227.00","75,190.00","201,537.00","392,037.00",190,250000,0,250000,12/31/2025,,
"Bartlett, John",NJ 011,US HOUSE,Y,1,D,Not an Incumbent,"465,697.51","394,502.51","360,216.00","260,855.00",0,0,0,100000,1/16/2026,,
"Dixit, Anuj",CA 048,US HOUSE,Y,1,D,Not an Incumbent,"464,671.61","222,047.61","436,682.00","242,624.00",7000,0,0,0,12/31/2025,,
"Trobough, John",AZ 001,US HOUSE,Y,1,R,Not an Incumbent,"462,919.00","103,346.00","5,729.00","359,572.00",56189,401000,0,401000,12/31/2025,,
"Blair, Everton",GA 013,US HOUSE,Y,1,D,Not an Incumbent,"462,843.00","321,599.00","451,878.00","141,244.00",0,0,0,0,12/31/2025,,
"Lucas, Frank D",OK 003,US HOUSE,Y,1,R,Incumbent,"461,504.13","266,312.13","68,065.00","813,477.00",0,0,0,0,12/31/2025,,
"Torres, Norma",CA 035,US HOUSE,Y,1,D,Incumbent,"459,684.50","238,138.50","98,867.00","524,861.00",0,0,0,185,12/31/2025,,
"O'rourke, Megan",NJ 007,US HOUSE,Y,1,D,Not an Incumbent,"458,534.00","176,989.00","319,342.00","281,545.00",2191,130000,0,130000,12/31/2025,,
"Jones, Chris",AR 002,US HOUSE,Y,1,D,Not an Incumbent,"458,507.13","358,544.13","451,252.00","99,963.00",0,0,0,2454,12/31/2025,,
"Thompson, Bennie G",MS 002,US HOUSE,Y,1,D,Incumbent,"458,236.96","424,547.96","105,737.00","1,659,853.00",0,0,0,0,12/31/2025,,
"Scott, David",GA 013,US HOUSE,Y,1,D,Incumbent,"458,029.00","362,355.00","23,235.00","270,197.00",0,173291,0,225641,12/31/2025,,
"Floyd, Jami",NY 012,US HOUSE,Y,1,D,Not an Incumbent,"456,823.00","75,446.00","164,129.00","381,376.00",43194,250000,0,250000,12/31/2025,,
"James, Lindsay",IA 002,US HOUSE,Y,1,D,Not an Incumbent,"454,264.00","151,817.00","440,156.00","302,446.00",0,0,0,0,12/31/2025,,
"Kamlager, Sydney",CA 037,US HOUSE,Y,1,D,Incumbent,"453,503.85","410,286.85","206,382.00","105,214.00",0,0,0,0,12/31/2025,,
"Tokuda, Jill",HI 002,US HOUSE,Y,1,D,Incumbent,"452,937.06","434,117.06","356,078.00","502,260.00",0,0,0,0,12/31/2025,,
"Winder, Bayly",NJ 002,US HOUSE,Y,1,D,Not an Incumbent,"451,436.74","219,974.74","442,466.00","231,462.00",7155,0,0,0,12/31/2025,,
"Stevenson, Cherlynn",KY 006,US HOUSE,Y,1,D,Not an Incumbent,"451,054.00","326,111.00","434,678.00","125,118.00",826,0,0,14055,12/31/2025,,
"Timmons, William",SC 004,US HOUSE,Y,1,R,Incumbent,"449,881.72","344,888.72","159,791.00","125,108.00",0,0,76400,242608,12/31/2025,,
"Toth, Steve",TX 002,US HOUSE,Y,1,R,Not an Incumbent,"448,566.32","146,565.32","432,551.00","302,001.00",0,13000,0,13000,12/31/2025,,
"Clark, Jasmine",GA 013,US HOUSE,Y,1,D,Not an Incumbent,"448,106.77","290,424.77","436,899.00","157,681.00",0,0,0,0,12/31/2025,,
"Sullivan, John",NY 017,US HOUSE,Y,1,D,Not an Incumbent,"442,548.12","402,233.12","439,321.00","40,314.00",3657,0,0,37472,12/31/2025,,
"Solis, Hilda",CA 038,US HOUSE,Y,1,D,Not an Incumbent,"440,244.00","42,215.00","363,244.00","398,028.00",0,0,0,268,12/31/2025,,
"Mcguire, Mike",CA 001,US HOUSE,Y,1,D,Not an Incumbent,"438,966.00","53,487.00","408,866.00","385,479.00",0,0,0,0,12/31/2025,,
"Clyde, Andrew",GA 009,US HOUSE,Y,1,R,Incumbent,"438,880.00","233,744.00","389,269.00","301,120.00",0,0,0,1308863,12/31/2025,,
"Coughlin, Kevin",OH 013,US HOUSE,Y,1,R,Not an Incumbent,"436,016.42","208,218.42","395,532.00","284,416.00",0,0,0,0,12/31/2025,,
"Rivas, Luz",CA 029,US HOUSE,Y,1,D,Incumbent,"435,911.09","323,772.09","201,917.00","376,402.00",0,0,0,0,12/31/2025,,
"Waters, Maxine",CA 043,US HOUSE,Y,1,D,Incumbent,"431,342.00","398,458.00","175,148.00","149,340.00",0,0,0,113793,12/31/2025,,
"Rogers, Hal",KY 005,US HOUSE,Y,1,R,Incumbent,"430,352.96","342,464.96","169,381.00","1,059,139.00",0,0,0,0,12/31/2025,,
"Wellman, Frederick",MO 002,US HOUSE,Y,1,D,Not an Incumbent,"426,233.79","249,039.79","418,620.00","177,194.00",0,0,0,0,12/31/2025,,
"Mcgovern, James P",MA 002,US HOUSE,Y,1,D,Incumbent,"424,550.98","504,822.98","307,587.00","313,892.00",0,0,0,0,12/31/2025,,
"Obando-Derstine, Carol",PA 007,US HOUSE,Y,1,D,Not an Incumbent,"424,431.86","300,923.86","364,051.00","123,508.00",1295,12500,0,12500,12/31/2025,,
"Grayzel, Jeff",NJ 011,US HOUSE,Y,1,D,Not an Incumbent,"420,897.00","344,328.00","326,647.00","76,569.00",100360,0,0,0,1/16/2026,,
"Mejia, Analilia",NJ 011,US HOUSE,Y,1,D,Not an Incumbent,"418,943.00","60,822.00","373,618.00","358,120.00",3500,0,0,0,1/16/2026,,
"Lauf, Catalina",FL 019,US HOUSE,Y,1,R,Not an Incumbent,"415,531.00","199,787.00","429,749.00","215,744.00",0,0,0,0,12/31/2025,,
"Dotson, Ryan",KY 006,US HOUSE,Y,1,R,Not an Incumbent,"413,798.00","82,704.00","143,702.00","331,094.00",781,260000,0,260000,12/31/2025,,
"Hatcher, Charlie",TN 005,US HOUSE,Y,1,R,Not an Incumbent,"408,409.00","234,853.00","279,966.00","173,555.00",130943,0,0,0,12/31/2025,,
"Kaufman, Joe",FL 023,US HOUSE,Y,1,R,Not an Incumbent,"408,165.00","8,689.00","408,165.00","462,265.00",0,0,0,89862,12/31/2025,,
